"filename", "language", "YAML", "Markdown", "Swift", "C++", "Dart", "CMake", "XML", "JSON", "HTML", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\ahbaz\StudioProjects\kaio\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\ahbaz\StudioProjects\kaio\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\ahbaz\StudioProjects\kaio\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\cook.dart", "Dart", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 24, 17, 87
"c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\recipe.dart", "Dart", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 2, 6, 118
"c:\Users\ahbaz\StudioProjects\kaio\lib\Culture\CultureSelection.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 36, 5, 89
"c:\Users\ahbaz\StudioProjects\kaio\lib\Culture\Gallery.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 6, 56
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Destinationdesc.dart", "Dart", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 1, 3, 117
"c:\Users\ahbaz\StudioProjects\kaio\lib\Handicrafts\Hc_papermachie.dart", "Dart", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 1, 4, 96
