Date : 2023-07-25 19:28:13
Directory : c:\Users\ahbaz\StudioProjects\kaio
Total : 75 files,  3761 codes, 409 comments, 500 blanks, all 4670 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         27 |      2,251 |        135 |        214 |      2,600 |
| C++        |         16 |        537 |        118 |        181 |        836 |
| XML        |         10 |        463 |         48 |         12 |        523 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Gradle     |          3 |         90 |          5 |         22 |        117 |
| Swift      |          6 |         52 |          7 |         20 |         79 |
| CMake      |          2 |         38 |          0 |         12 |         50 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         23 |         80 |         18 |        121 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |         75 |      3,761 |        409 |        500 |      4,670 |
| . (Files)                                                                                        |          3 |         33 |         80 |         25 |        138 |
| android                                                                                          |         12 |        157 |         51 |         33 |        241 |
| android (Files)                                                                                  |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                      |          8 |        114 |         51 |         22 |        187 |
| android\app (Files)                                                                              |          1 |         55 |          5 |         13 |         73 |
| android\app\src                                                                                  |          7 |         59 |         46 |          9 |        114 |
| android\app\src\debug                                                                            |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                             |          5 |         53 |         38 |          7 |         98 |
| android\app\src\main (Files)                                                                     |          1 |         27 |          6 |          1 |         34 |
| android\app\src\main\res                                                                         |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                            |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                  |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                            |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                          |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                   |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                           |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                              |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                       |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                               |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                  |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                       |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                    |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                  |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                            |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                              |         26 |      2,237 |        124 |        206 |      2,567 |
| lib (Files)                                                                                      |          2 |         96 |          1 |          7 |        104 |
| lib\Cuisines                                                                                     |          2 |        156 |         26 |         23 |        205 |
| lib\Culture                                                                                      |          2 |         97 |         37 |         11 |        145 |
| lib\Destinations                                                                                 |          1 |        113 |          1 |          3 |        117 |
| lib\Handicrafts                                                                                  |          2 |        109 |          2 |         10 |        121 |
| lib\Literature                                                                                   |          4 |        448 |          4 |         29 |        481 |
| lib\MainScreens                                                                                  |          5 |        879 |         11 |         74 |        964 |
| lib\widgets                                                                                      |          8 |        339 |         42 |         49 |        430 |
| linux                                                                                            |          6 |        117 |         27 |         44 |        188 |
| linux (Files)                                                                                    |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                    |          3 |         31 |          9 |         17 |         57 |
| macos                                                                                            |          6 |        444 |          5 |         16 |        465 |
| macos\Flutter                                                                                    |          1 |          6 |          3 |          4 |         13 |
| macos\Runner                                                                                     |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                             |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                     |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                  |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                          |          1 |        343 |          0 |          1 |        344 |
| test                                                                                             |          1 |         14 |         11 |          8 |         33 |
| web                                                                                              |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                          |         11 |        457 |         91 |        148 |        696 |
| windows\flutter                                                                                  |          3 |         30 |          9 |         17 |         56 |
| windows\runner                                                                                   |          8 |        427 |         82 |        131 |        640 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                         | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\ahbaz\StudioProjects\kaio\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\ahbaz\StudioProjects\kaio\analysis_options.yaml                                         | YAML       |          3 |         23 |          4 |         30 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\build.gradle                                      | Gradle     |         55 |          5 |         13 |         73 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\AndroidManifest.xml                      | XML        |         27 |          6 |          1 |         34 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| c:\Users\ahbaz\StudioProjects\kaio\android\build.gradle                                          | Gradle     |         27 |          0 |          5 |         32 |
| c:\Users\ahbaz\StudioProjects\kaio\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\ahbaz\StudioProjects\kaio\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| c:\Users\ahbaz\StudioProjects\kaio\android\settings.gradle                                       | Gradle     |          8 |          0 |          4 |         12 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\cook.dart                                        | Dart       |         46 |         24 |         17 |         87 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\recipe.dart                                      | Dart       |        110 |          2 |          6 |        118 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Culture\CultureSelection.dart                             | Dart       |         48 |         36 |          5 |         89 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Culture\Gallery.dart                                      | Dart       |         49 |          1 |          6 |         56 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Destinationdesc.dart                         | Dart       |        113 |          1 |          3 |        117 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Handicrafts\Hc_papermachie.dart                           | Dart       |         91 |          1 |          4 |         96 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Handicrafts\desc_Hc_pprmche.dart                          | Dart       |         18 |          1 |          6 |         25 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\Book.dart                                      | Dart       |        167 |          1 |          4 |        172 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookTemplate.dart                              | Dart       |        113 |          1 |          5 |        119 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\Widget_Book.dart                               | Dart       |         20 |          1 |          6 |         27 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\litera.dart                                    | Dart       |        148 |          1 |         14 |        163 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\Cuisine.dart                                  | Dart       |        221 |          2 |         23 |        246 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\Culture.dart                                  | Dart       |         11 |          4 |          5 |         20 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\destinations.dart                             | Dart       |         76 |          2 |          5 |         83 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\handicrafts.dart                              | Dart       |        201 |          2 |         20 |        223 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\literature.dart                               | Dart       |        370 |          1 |         21 |        392 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\constants.dart                                            | Dart       |          3 |          0 |          1 |          4 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\main.dart                                                 | Dart       |         93 |          1 |          6 |        100 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\CookCard.dart                                     | Dart       |         20 |          2 |          3 |         25 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\CultureCard.dart                                  | Dart       |         99 |         14 |         20 |        133 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\Recipe.dart                                       | Dart       |         53 |          1 |          5 |         59 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\ReviewCard.dart                                   | Dart       |         19 |          2 |          3 |         24 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\Travel.dart                                       | Dart       |         56 |         20 |          7 |         83 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\bookshape.dart                                    | Dart       |         30 |          1 |          4 |         35 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\craft.dart                                        | Dart       |         44 |          1 |          3 |         48 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\selection.dart                                    | Dart       |         18 |          1 |          4 |         23 |
| c:\Users\ahbaz\StudioProjects\kaio\linux\flutter\generated_plugin_registrant.cc                  | C++        |          7 |          4 |          5 |         16 |
| c:\Users\ahbaz\StudioProjects\kaio\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| c:\Users\ahbaz\StudioProjects\kaio\linux\flutter\generated_plugins.cmake                         | CMake      |         19 |          0 |          6 |         25 |
| c:\Users\ahbaz\StudioProjects\kaio\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| c:\Users\ahbaz\StudioProjects\kaio\linux\my_application.cc                                       | C++        |         74 |         11 |         20 |        105 |
| c:\Users\ahbaz\StudioProjects\kaio\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| c:\Users\ahbaz\StudioProjects\kaio\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |          6 |          3 |          4 |         13 |
| c:\Users\ahbaz\StudioProjects\kaio\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\ahbaz\StudioProjects\kaio\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| c:\Users\ahbaz\StudioProjects\kaio\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\ahbaz\StudioProjects\kaio\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| c:\Users\ahbaz\StudioProjects\kaio\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\ahbaz\StudioProjects\kaio\pubspec.yaml                                                  | YAML       |         20 |         57 |         14 |         91 |
| c:\Users\ahbaz\StudioProjects\kaio\test\widget_test.dart                                         | Dart       |         14 |         11 |          8 |         33 |
| c:\Users\ahbaz\StudioProjects\kaio\web\index.html                                                | HTML       |         38 |         16 |          6 |         60 |
| c:\Users\ahbaz\StudioProjects\kaio\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\flutter\generated_plugin_registrant.cc                | C++        |          6 |          4 |          5 |         15 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\flutter\generated_plugins.cmake                       | CMake      |         19 |          0 |          6 |         25 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\runner\flutter_window.cpp                             | C++        |         48 |          4 |         15 |         67 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
